5303311	D0000042509167
5627224	515820_2
5600204	1212364_1
5567462	1214100
5567408	1214100_3
5738943	1312640_0
5548317	1296446
5604396	1276757_1
5525156	1212468
5570954	1299220
5494327	3180378_6
5350442	78229_0
5514421	1382441_0
5662072	185418_0
5629723	47522_4
5661049	879190_2
5454597	DOM_0000000002712521_35
5590082	1265005_11
5714326	1062300_0
5496885	44333_1
5389613	21328_0
5611512	20190710145455462
5595726	38508_10
5750431	82672
5547595	1205298_21
5760299	161207
5397789	158565
5621395	156595
5568660	2327055_4
5566316	70f7367a06154869b96e2cda79332123_2
5713648	612060_5
5664006	669560
5340043	44683_0
5368918	85256_0
5400797	160255_0
5550825	1286095_5
5591646	1290244_2
5609871	345201_0
5289289	D0000042567595_0
5326736	350631_1
5493073	36145_141
5656396	177883_0
5577982	1252793_1
5714132	590090
5593033	1315604_2
5295144	D0000042349991
5562350	166406_10
5399524	157172_1
5324802	349535_0
5642306	47484_3
5422379	78432_0
5563526	1134760_5
5611906	1380726
5604224	1249803
5521836	22051
5454880	DOM_0000000002998521_6
5598472	2362911_4
5712048	789330_0
5633617	679010_0
5513857	1307063
5351991	46512
5454282	DOM_0000000002849778_0
5710396	49342_1
5552659	1375771_5
5451233	48700
5291051	D0000042590609
5552286	2159681_4
5326113	47545_0
5651583	745580_0
5604002	478610_3
5718959	488260
5336914	14927
5546597	758610
5369353	17205_0
5600519	81997
5801665	175194
5596806	1367736_1
5329810	29880
5562694	1512687_5
5739522	884270_4
5313451	364114_0
5576563	1383633_2
5452039	164105
5424656	161136_9
5608602	63986
5623959	82259
5566609	1228279_1
5645893	878040_0
5396990	161909_0
5594715	1213642_2
5397763	163862_0
5351416	64621
5658368	180083_0
5425594	163961_2
5479792	31276_1
5743016	1212305_1
5556863	3179841_1
5713080	64279_2
5345724	75848-10
5711166	346889_3
5405119	162096_3
5555379	1369856_10
5661730	171482_0
5498651	38529_35
5743129	173344
5480052	17820_0
5747192	499780_0
5657226	171849_0
5334547	70026
5526305	1358668_0
5636507	83606_0
5500086	1232941_4
5695361	168111_0
5611887	797760
5613010	82939
5444486	161522_0
5432919	156846_11
5548164	3180165_0
5664803	1001975_2
5690130	1214109
5389957	78482_1
5566956	1212322_3
5713889	312693_2
5621461	47646
5324023	69810
5723800	83725
5500243	49233_26
5425395	95072772_0
5627583	20180515151612809_0
5302952	D0000042224815
5313003	326283
5586040	1274910_9
5308287	D0000042837066
5624657	169489
5637323	83709_7
5405855	159323_11
5561075	1342435
5743723	340038
5543756	1295752_0
5512551	1212516
5686868	1373997
5579170	1879109
5316051	142012_0
5695663	309147
5451908	95079554_2
5485279	41521364
5340251	56590_0
5746640	716390_0
5451061	162374_0
5618911	1213978_0
5758992	160098_1
5553384	41681
5345272	57307_18
5722546	82457
5355940	58521_0
5606673	1373099
5608168	1390193_0
5427972	78331
5574710	185193
5695814	311173_0
5432203	148625
5602509	1289458
5643132	1219427
5365555	27737_0
5561334	1213604_3
5486384	33876_10
5294096	D0000042308330
5551019	1213631_0
5527157	1281841_1
5407331	15354_0
5559081	1213530_0
5397570	44108
5607096	2007907_0
5585574	488860_12
5345413	18753_0
5307990	D0000042248544
5428619	161175_4
5575842	1477366_0
5363227	43374_0
5465754	45641_0
5687549	168146_4
5579943	1380321
5323295	351097_0
5497887	41506220
5386750	321505
5465550	DOM_0000000002404085
5330891	43632
5292255	D0000042353358
5552174	1420141
5747202	161388_0
5584005	1370683
5319635	77350
5584925	1326788_0
5331563	363444
5695789	181663_2
5450705	157434_11
5555716	910010_1
5588428	1213140_0
5477853	DOM_0000000002222278_14
5689723	157354_0
5368897	326560
5800751	678510
5757913	83253
5531879	2263038
5318915	78910_4
5411931	158659_3
5647593	712620_0
5748380	802430_1
5478449	95075983
5318314	59903_1
5581354	1212391_2
5333163	346099
5523213	39301_11
5579819	1297897
5332835	28129_0
5698899	868930
5406052	164085_5
5611466	1213298
5648260	174093_0
5293606	D0000042498122
5727248	305674
5646052	82124_1
5315899	38908
5338298	59872
5397162	160062
5432297	160013
5423043	158184_11
5428031	78958_6
5321427	3160225
5512785	3180363_2
5516805	33533_79
5711484	865600
5335715	341444_2
5328445	29259
5523413	47179_297
5611511	20190710145455462
5612228	1285550
5623473	1127400_2
5348952	57331
5293536	D0000042496577_1
5427253	73944
5726858	182801_6
5413133	160250_4
5311270	345043_3
5613808	182005_8
5484834	33533_125
5347313	15558_0
5594528	1213046_0
5409766	156802_0
5364264	68588
5410510	157955_0
5345818	71750
5740745	1212942_1
5386556	59962_0
5397890	28905
5341778	347240
5709687	D0000042596742_0
5428112	157466_0
5483135	29616_36
5591043	3180433_1
5590373	28036_13
5525048	95085577
5410595	159823_0
5560337	1366685_1
5578457	1369975
5327375	29808
5529344	1276491_1
5454814	DOM_0000000003036700_0
5397312	161550_0
5644075	306388_0
5649889	780600
5356398	17821
5300263	D0000042529956
5352527	27846
5345227	27591_1
5514223	27994_8
5398790	78555_7
5512657	1312912_1
5422624	78143_1
5756785	28652
5798279	1032800
5533283	1373729_0
5331700	343825_2
5399413	164266
5638182	144721_3
5308396	D0000042411598_1
5453630	95082293_1
5569878	4069226_0
5739255	168252_9
5480033	D0000042799119
5552412	1375771_0
5698093	185231_0
5518317	1390377
5655013	179315_4
5647562	83509
5547019	523040_3
5431677	77892
5446261	78379_2
5719225	160841_4
5494732	1213954
5427485	158354
5648853	171421_0
5405709	161707_6
5497614	47179_106
5548591	143415_3
5521549	1297148
5501484	17498_0
5350021	57502
5315974	349239_0
5658478	664170_3
5426797	161496_8
5334019	322133_1
5631503	349994_1
5558381	1313603_4
5401911	164296_0
5361840	42456_0
5609122	44170_2
5324836	363334_2
5425499	158132_0
5356365	346134
5336390	39148
5336153	85023
5426229	160184
5469771	2894_44
5308951	351977_2
5337998	15031
5606775	47963_32
5366412	71914-5_25
5654110	39130_1
5553744	1260393_0
5548256	1290380_2
5585587	488860_3
5475264	34568_61
5574692	48032_77
5583213	1213036_5
5313188	365255
5291327	D0000042420398
5716370	813580_1
5605136	1280793_1
5298491	D0000042610117
5620264	20181226131649730_12
5445792	156589_2
5398204	161127_0
5336521	69826
5597441	336987_85
5495801	1405559
5654873	184428_0
5486916	29572_27
5567055	1461856_10
5603267	1375581_0
5512606	1330028_0
5413422	157729_0
5551504	1292375_7
5755212	940625
5288263	D0000042518349
5610598	1443880_0
5423957	160098_31
5328471	44214_7
5307114	D0000042344739_2
5434961	158363_2
5549217	1258794_2
5305209	D0000042258968_2
5466729	49570_5
5338222	49711
5467242	DOM_0000000002944239
5324432	363758_1
5395763	158919_27
5741351	989005_0
5497225	95075869_0
5597444	1333724
5307245	D0000042314009_2
5389837	16900_0
5414506	78654_41
5611725	1232642_1
5478986	48964_7
5584775	1219491_3
5646096	181977
5750695	811590_5
5747798	925120_0
5697950	181691_13
5446196	160373_1
5746758	172711_22
5512891	3180347
5612360	1409983
5598953	1212423
5324190	68340
5639391	820000_2
5478570	DOM_0000000002295335
5327359	350634_10
5348924	57346
5612821	D0000042834099
5621276	47657_2
5352012	43594_0
5322296	16288
